Model,Metric,Value
Ridge,MAE,39571.24697147808
phi,MAE,103904.95814517052
GE,MAE,27301.85628840388
Ridge,MSE,1316757.7177747816
phi,MSE,8001203.471273722
GE,MSE,996947.1805415107
Ridge,RMSE,1147.5006395531036
phi,RMSE,2828.639862420404
GE,RMSE,998.4724235258132
Ridge,r,0.7295771193695885
phi,r,0.7020329889122446
GE,r,0.8317561348171248
Ridge,R2,0.5322827630556395
phi,R2,-1.8420572207756178
GE,R2,0.6458806549087166
Ridge,PCC,0.5322827731076264
phi,PCC,0.4928503175210595
GE,PCC,0.6918182678059226
Ridge,r/s,10.912984256529661
phi,r/s,10.912984256529661
GE,r/s,133.9825924339532
Ridge,MAE,35404.533288444785
phi,MAE,90755.5525300059
GE,MAE,21757.46120433418
Ridge,MSE,1188983.8598614715
phi,MSE,6178461.5356975775
GE,MSE,921203.4173170604
Ridge,RMSE,1090.4053649269483
phi,RMSE,2485.6511291204115
GE,RMSE,959.7934242935094
Ridge,r,0.68263007314946
phi,r,0.6369536218537767
GE,r,0.8233380012009291
Ridge,R2,0.4659838086088298
phi,R2,-1.7749733275054798
GE,R2,0.5862538113263807
Ridge,PCC,0.465983816768038
phi,PCC,0.40570991639264364
GE,PCC,0.6778854642215423
Ridge,r/s,13.250685712045447
phi,r/s,13.250685712045447
GE,r/s,102.86681058373959
Ridge,MAE,50540.0929274581
phi,MAE,127274.2286254203
GE,MAE,22305.718002552887
Ridge,MSE,1912854.232119951
phi,MSE,12197907.204756906
GE,MSE,722330.1766024672
Ridge,RMSE,1383.0597355573443
phi,RMSE,3492.550243698279
GE,RMSE,849.9000980129766
Ridge,r,0.7516499035941748
phi,r,0.7336623272450457
GE,r,0.9230058920824358
Ridge,R2,0.564977569546735
phi,R2,-1.7740552048107805
GE,R2,0.8357272479319826
Ridge,PCC,0.5649775775731318
phi,PCC,0.5382604104186155
GE,PCC,0.8519398768188906
Ridge,r/s,12.996055140639598
phi,r/s,12.996055140639598
GE,r/s,152.5051184680705
Ridge,MAE,45897.101281254014
phi,MAE,367949.06435104687
GE,MAE,18450.547654443857
Ridge,MSE,1577568.9625317724
phi,MSE,69652850.21633705
GE,MSE,551865.6892860155
Ridge,RMSE,1256.013121958434
phi,RMSE,8345.828312177111
GE,RMSE,742.8766312692945
Ridge,r,0.7349549147344109
phi,r,0.7128712284907682
GE,r,0.9306939411031876
Ridge,R2,0.5401587194625401
phi,R2,-19.302919617004818
GE,R2,0.8391381731808639
Ridge,PCC,0.5401587266922656
phi,PCC,0.5081853884099371
GE,PCC,0.8661912120061832
Ridge,r/s,14.106712479478933
phi,r/s,14.106712479478933
GE,r/s,120.04294841128085
Ridge,MAE,47554.33366078297
phi,MAE,129499.6658331865
GE,MAE,20636.37214559438
Ridge,MSE,1698723.0060225173
phi,MSE,12168002.8908529
GE,MSE,625594.8041322309
Ridge,RMSE,1303.3506842068705
phi,RMSE,3488.2664592678266
GE,RMSE,790.945512745493
Ridge,r,0.7640285550520315
phi,r,0.7267315571097931
GE,r,0.9299534801527409
Ridge,R2,0.5837396254850683
phi,R2,-1.9816853144909072
GE,R2,0.846702301352605
Ridge,PCC,0.583739632934895
phi,PCC,0.5281387560992243
GE,PCC,0.8648134752481941
Ridge,r/s,12.972734989918354
phi,r/s,12.972734989918354
GE,r/s,131.05593775868596
Ridge,MAE,26612.698782685235
phi,MAE,64112.062616523166
GE,MAE,18228.67795704822
Ridge,MSE,732422.0695849807
phi,MSE,3230604.987681733
GE,MSE,760241.6297607743
Ridge,RMSE,855.8166097856367
phi,RMSE,1797.3883797559538
GE,RMSE,871.9183618669665
Ridge,r,0.6527853553486596
phi,r,0.6055007803446918
GE,r,0.7765649832670454
Ridge,R2,0.42612871131682284
phi,R2,-1.5312610371745374
GE,R2,0.4043313795437957
Ridge,PCC,0.42612872015767617
phi,PCC,0.36663119499803204
GE,PCC,0.6030531732365482
Ridge,r/s,13.461309950154307
phi,r/s,13.461309950154307
GE,r/s,125.91918346645038
Ridge,MAE,41304.522155542894
phi,MAE,84169.57141875794
GE,MAE,25469.73792782608
Ridge,MSE,1440160.512587915
phi,MSE,6326766.433766852
GE,MSE,1093388.836390024
Ridge,RMSE,1200.0668783813321
phi,RMSE,2515.306429397192
GE,RMSE,1045.6523496793875
Ridge,r,0.7161005986988044
phi,r,0.6619929214222824
GE,r,0.8448042758025507
Ridge,R2,0.5128000570257603
phi,R2,-1.1403171513178072
GE,R2,0.630111384056354
Ridge,PCC,0.5128000674567861
phi,PCC,0.4382346280132087
GE,PCC,0.713694264414271
Ridge,r/s,12.514341391562425
phi,r/s,12.514341391562425
GE,r/s,128.67767562766522
Ridge,MAE,36784.78606055593
phi,MAE,92779.46221282554
GE,MAE,22024.274158905962
Ridge,MSE,1150664.8865222288
phi,MSE,6422602.088477892
GE,MSE,799993.5730934523
Ridge,RMSE,1072.6904896204817
phi,RMSE,2534.2853210477097
GE,RMSE,894.4235982427186
Ridge,r,0.7059651864136804
phi,r,0.6675932366484933
GE,r,0.8538080749318296
Ridge,R2,0.49838683525253324
phi,R2,-1.7998262545859767
GE,R2,0.6512561453145197
Ridge,PCC,0.49838684442810194
phi,PCC,0.4456807296188121
GE,PCC,0.7289882288187983
Ridge,r/s,12.222466128915997
phi,r/s,12.222466128915997
GE,r/s,122.78007998645897
Ridge,MAE,27193.617003108197
phi,MAE,86565.74427284252
GE,MAE,14748.325900953641
Ridge,MSE,681232.3249635707
phi,MSE,4885237.718182431
GE,MSE,447550.9088088248
Ridge,RMSE,825.3679936631725
phi,RMSE,2210.25738731543
GE,RMSE,668.992457961093
Ridge,r,0.6829951315878011
phi,r,0.6426732972107774
GE,r,0.8681914973797658
Ridge,R2,0.4664823429124122
phi,R2,-2.8259496594791664
GE,R2,0.6494935669591997
Ridge,PCC,0.4664823497726387
phi,PCC,0.4130289669477723
GE,PCC,0.7537564761225175
Ridge,r/s,14.31337517482849
phi,r/s,14.31337517482849
GE,r/s,84.58990362973726
Ridge,MAE,36063.39201660906
phi,MAE,98854.19392743993
GE,MAE,19551.066041829632
Ridge,MSE,1050247.94236731
phi,MSE,7007705.720494586
GE,MSE,588673.8726424766
Ridge,RMSE,1024.8160529418487
phi,RMSE,2647.2071548132735
GE,RMSE,767.2508537906468
Ridge,r,0.7390784970078275
phi,r,0.7064884652772837
GE,r,0.8847550762667447
Ridge,R2,0.5462370156030036
phi,R2,-2.0277016818904934
GE,R2,0.7456615695102895
Ridge,PCC,0.5462370247393502
phi,PCC,0.499125951569852
GE,PCC,0.7827915449797714
Ridge,r/s,12.058714684125473
phi,r/s,12.058714684125473
GE,r/s,124.62165392346016
Ridge,MAE,40550.00230505948
phi,MAE,199998.6178459652
GE,MAE,19448.58978909862
Ridge,MSE,1335988.9792316009
phi,MSE,22304823.561300103
GE,MSE,620473.0999500263
Ridge,RMSE,1155.8498947664445
phi,RMSE,4722.798276583502
GE,RMSE,787.7011488820023
Ridge,r,0.7240960441813096
phi,r,0.6956486296949584
GE,r,0.8914006290050926
Ridge,R2,0.5243150728939181
phi,R2,-6.941733453499953
