Model,Metric,Value
ADD_GE,MAE,34415.07700702122
PW_L,MAE,25440.331528293842
PW_GE,MAE,13378.7279406567
ADD_L,MSE,2529580.1565744793
ADD_GE,MSE,1695747.182988966
PW_L,MSE,676394.8006939226
PW_GE,MSE,340353.76201761863
ADD_L,RMSE,1590.4653899329212
ADD_GE,RMSE,1302.208578910831
PW_L,RMSE,822.4322468713898
PW_GE,RMSE,583.3984590463182
ADD_L,r,0.827140007365286
ADD_GE,r,0.9084309400982332
PW_L,r,0.9537629399947068
PW_GE,r,0.9785867866601768
ADD_L,PCC,0.6841605917842444
ADD_GE,PCC,0.825246772927761
PW_L,PCC,0.9096637457073472
PW_GE,PCC,0.9576320990258885
ADD_L,MAE,65832.77846028852
ADD_GE,MAE,16017.691705509107
PW_L,MAE,24045.61256634459
PW_GE,MAE,7054.43054790886
ADD_L,MSE,5529483.424496887
ADD_GE,MSE,452757.96377959347
PW_L,MSE,518346.64336326043
PW_GE,MSE,95808.09578022492
ADD_L,RMSE,2351.4853655714905
ADD_GE,RMSE,672.8729180013069
PW_L,RMSE,719.9629458265616
PW_GE,RMSE,309.5288286738812
ADD_L,r,0.5806735903617936
ADD_GE,r,0.9377843907161016
PW_L,r,0.9217732285640253
PW_GE,r,0.9863126619171356
ADD_L,PCC,0.33718181854365564
ADD_GE,PCC,0.8794395634707712
PW_L,PCC,0.8496658848973436
PW_GE,PCC,0.9728126670580621
ADD_L,MAE,32933.48763337427
ADD_GE,MAE,4851.10933794294
PW_L,MAE,30984.080409303002
PW_GE,MAE,4189.5126468891995
ADD_L,MSE,1588387.1921907084
ADD_GE,MSE,39024.34957884551
PW_L,MSE,1456708.654681483
PW_GE,MSE,38365.24788419587
ADD_L,RMSE,1260.3123391408608
ADD_GE,RMSE,197.5458164043104
PW_L,RMSE,1206.9418605224873
PW_GE,RMSE,195.87048752733494
ADD_L,r,0.6700470405206961
ADD_GE,r,0.9821779608014201
PW_L,r,0.8547624254552362
PW_GE,r,0.9893399959919829
ADD_L,PCC,0.4489630365105432
ADD_GE,PCC,0.9646735466840317
PW_L,PCC,0.730618803970117
PW_GE,PCC,0.9787936276694206
ADD_L,MAE,14998.954739590079
ADD_GE,MAE,6877.598858152117
PW_L,MAE,12980.027985319799
PW_GE,MAE,5004.626875741141
ADD_L,MSE,549537.7889812265
ADD_GE,MSE,147692.56607215188
PW_L,MSE,474861.94325285795
PW_GE,MSE,109767.90991748562
ADD_L,RMSE,741.3081606061183
ADD_GE,RMSE,384.30790529489747
PW_L,RMSE,689.1022734346898
PW_GE,RMSE,331.3124053178293
ADD_L,r,0.5094697874593093
ADD_GE,r,0.9005669235910851
PW_L,r,0.7016489846117037
PW_GE,r,0.9294255752691549
ADD_L,PCC,0.25955946433383387
ADD_GE,PCC,0.8110207838663096
PW_L,PCC,0.4923112976066352
PW_GE,PCC,0.8638318999644001
ADD_L,MAE,32389.055230432623
ADD_GE,MAE,7445.320327603086
PW_L,MAE,23844.513061679136
PW_GE,MAE,4306.214893185363
ADD_L,MSE,1462775.6277563674
ADD_GE,MSE,97866.12251240265
PW_L,MSE,920875.4055554257
PW_GE,MSE,32927.46451230703
ADD_L,RMSE,1209.4526149280787
ADD_GE,RMSE,312.8356157991009
PW_L,RMSE,959.6225328510297
PW_GE,RMSE,181.45926405754827
ADD_L,r,0.6507046598445492
ADD_GE,r,0.9556791461537273
PW_L,r,0.8527393303103594
PW_GE,r,0.9861866679936638
ADD_L,PCC,0.4234165543434113
ADD_GE,PCC,0.9133226303931166
PW_L,PCC,0.727164365458159
PW_GE,PCC,0.9725641441284438
ADD_L,MAE,14057.787852871174
ADD_GE,MAE,3165.32420888239
PW_L,MAE,12958.628334142722
PW_GE,MAE,3456.901392508526
ADD_L,MSE,436891.97038551926
ADD_GE,MSE,28808.493156651497
PW_L,MSE,400846.16557628056
PW_GE,MSE,42487.41878106658
ADD_L,RMSE,660.9780407740633
ADD_GE,RMSE,169.73064884295792
PW_L,RMSE,633.1241312541172
PW_GE,RMSE,206.12476508432115
ADD_L,r,0.5764977913053272
ADD_GE,r,0.9701697308978435
PW_L,r,0.76169591851546
PW_GE,r,0.9703872567771533
ADD_L,PCC,0.3323497033799206
ADD_GE,PCC,0.9412293067503947
